Orthogroup	Dufourea_novaeangliae	Megalopta_genalis
OG0007879	XP_015437502.1	XP_033337655.1
OG0007880	XP_015429568.1	XP_033329341.1
OG0007881	XP_015429203.1	XP_033334046.1
OG0007882	XP_015430923.1	XP_033327271.1
OG0007883	XP_015430900.1	XP_033337480.1
OG0007884	XP_015436306.1	XP_033332382.1
OG0007885	XP_015436214.1	XP_033332387.1
OG0007886	XP_015436328.1	XP_033333744.1
OG0007887	XP_015436063.1	XP_033336106.1, XP_033336101.1
OG0007888	XP_015436230.1	XP_033327897.1
OG0007889	XP_015436433.1	XP_033332889.1
OG0007890	XP_015436213.1	XP_033323800.1
OG0007891	XP_015436124.1	XP_033332940.1
OG0007892	XP_015431818.1	XP_033323487.1
OG0007893	XP_015430887.1	XP_033337986.1
OG0007894	XP_015436595.1	XP_033334834.1
OG0007895	XP_015434144.1	XP_033342202.1
OG0007896	XP_015431349.1	XP_033320879.1
OG0007897	XP_015428433.1	XP_033338475.1
OG0007898	XP_015437152.1	XP_033326893.1
OG0007899	XP_015436390.1	XP_033323801.1
OG0007900	XP_015436392.1	XP_033323810.1
OG0007901	XP_015428443.1	XP_033326292.1
OG0007902	XP_015431167.1	XP_033333103.1
OG0007903	XP_015436051.1	XP_033333716.1
OG0007904	XP_015434054.1	XP_033336112.1
OG0007905	XP_015436189.1	XP_033325572.1
OG0007906	XP_015430728.1	XP_033327221.1
OG0007907	XP_015439148.1	XP_033336568.1
OG0007908	XP_015430774.1	XP_033336903.1
OG0007909	XP_015432711.1	XP_033326263.1
OG0007910	XP_015436154.1	XP_033338651.1
OG0007911	XP_015432697.1	XP_033339889.1
OG0007912	XP_015437345.1	XP_033334884.1
OG0007913	XP_015437824.1	XP_033330044.1
OG0007914	XP_015432208.1	XP_033332472.1
OG0007915	XP_015432706.1	XP_033326239.1
OG0007916	XP_015431382.1	XP_033339611.1
OG0007917	XP_015439155.1	XP_033330834.1
OG0007918	XP_015434495.1	XP_033333070.1
OG0007919	XP_015434476.1	XP_033333058.1
OG0007920	XP_015432459.1	XP_033324978.1
OG0007921	XP_015438241.1	XP_033340544.1
OG0007922	XP_015435291.1	XP_033341438.1
OG0007923	XP_015435338.1	XP_033341433.1
OG0007924	XP_015428910.1	XP_033331442.1
OG0007925	XP_015429444.1	XP_033339481.1
OG0007926	XP_015432144.1	XP_033326254.1
OG0007927	XP_015433194.1	XP_033324638.1
OG0007928	XP_015435678.1	XP_033342538.1
OG0007929	XP_015439849.1	XP_033328138.1
OG0007930	XP_015435578.1	XP_033334510.1
OG0007931	XP_015439142.1	XP_033323923.1
OG0007932	XP_015431907.1	XP_033326798.1
OG0007933	XP_015436997.1	XP_033339392.1
OG0007934	XP_015434880.1	XP_033324685.1
OG0007935	XP_015430201.1	XP_033322416.1
OG0007936	XP_015436690.1	XP_033321973.1
OG0007937	XP_015433793.1	XP_033323336.1
OG0007938	XP_015436432.1	XP_033332871.1
OG0007939	XP_015433522.1	XP_033337548.1
OG0007940	XP_015437098.1	XP_033321650.1
OG0007941	XP_015437747.1	XP_033334928.1
OG0007942	XP_015440253.1	XP_033339779.1
OG0007943	XP_015439869.1	XP_033328131.1
OG0007944	XP_015435772.1	XP_033322148.1
OG0007945	XP_015434348.1	XP_033322052.1
OG0007946	XP_015435909.1	XP_033341557.1
OG0007947	XP_015437723.1	XP_033334866.1
OG0007948	XP_015436101.1	XP_033333277.1
OG0007949	XP_015430551.1	XP_033321322.1
OG0007950	XP_015429956.1	XP_033326831.1
OG0007951	XP_015437361.1	XP_033342833.1
OG0007952	XP_015435138.1	XP_033329261.1
OG0007953	XP_015430419.1	XP_033337451.1
OG0007954	XP_015438088.1	XP_033338958.1
OG0007955	XP_015430640.1	XP_033336899.1
OG0007957	XP_015433518.1	XP_033337895.1
OG0007958	XP_015433503.1	XP_033337744.1
OG0007959	XP_015435739.1	XP_033322431.1
OG0007960	XP_015429727.1	XP_033339529.1
OG0007961	XP_015437523.1	XP_033337607.1
OG0007962	XP_015434253.1	XP_033323245.1
OG0007963	XP_015438161.1	XP_033329025.1
OG0007964	XP_015435000.1	XP_033334248.1
OG0007965	XP_015437551.1	XP_033331372.1
OG0007966	XP_015435708.1	XP_033330411.1
OG0007967	XP_015434763.1	XP_033330408.1
OG0007968	XP_015435450.1	XP_033328882.1
OG0007969	XP_015437454.1	XP_033340439.1
OG0007970	XP_015429584.1	XP_033332854.1
OG0007971	XP_015432990.1	XP_033340119.1
OG0007972	XP_015431547.1	XP_033322182.1
OG0007973	XP_015429688.1	XP_033323492.1
OG0007974	XP_015433659.1	XP_033327949.1
OG0007975	XP_015434168.1	XP_033335678.1
OG0007976	XP_015438544.1	XP_033340710.1
OG0007977	XP_015432193.1	XP_033338662.1
OG0007978	XP_015439239.1	XP_033336615.1
OG0007979	XP_015432207.1	XP_033324995.1
OG0007980	XP_015432617.1	XP_033340651.1
OG0007981	XP_015428843.1	XP_033322019.1
OG0007982	XP_015433527.1	XP_033337932.1
OG0007983	XP_015431931.1	XP_033323117.1
OG0007984	XP_015435197.1	XP_033333656.1
OG0007985	XP_015432963.1	XP_033328514.1
OG0007986	XP_015439916.1	XP_033338960.1
OG0007987	XP_015437368.1	XP_033342394.1
OG0007988	XP_015436521.1	XP_033334429.1
OG0007989	XP_015436923.1	XP_033326950.1
OG0007990	XP_015430374.1	XP_033338578.1
OG0007991	XP_015440241.1	XP_033335592.1
OG0007992	XP_015437069.1	XP_033327775.1
OG0007993	XP_015431927.1	XP_033338311.1
OG0007994	XP_015429726.1	XP_033330625.1
OG0007995	XP_015429313.1	XP_033331193.1
OG0007997	XP_015431249.1	XP_033340579.1
OG0007998	XP_015439288.1	XP_033332787.1
OG0007999	XP_015439883.1	XP_033327988.1
OG0008000	XP_015434548.1	XP_033322988.1
OG0008001	XP_015437560.1	XP_033320806.1
OG0008003	XP_015430792.1	XP_033327231.1
OG0008004	XP_015431742.1	XP_033326436.1
OG0008005	XP_015433057.1	XP_033323069.1
OG0008006	XP_015434624.1	XP_033335377.1
OG0008007	XP_015431499.1	XP_033333694.1
OG0008008	XP_015429001.1	XP_033321538.1
OG0008009	XP_015433258.1	XP_033332072.1
OG0008010	XP_015433388.1	XP_033329970.1
OG0008011	XP_015429022.1	XP_033334107.1
OG0008012	XP_015437772.1	XP_033334696.1
OG0008013	XP_015433301.1	XP_033324071.1
OG0008014	XP_015429482.1	XP_033334207.1
OG0008015	XP_015436201.1	XP_033334300.1
OG0008016	XP_015429937.1	XP_033340116.1
OG0008017	XP_015432152.1	XP_033335315.1
OG0008018	XP_015431813.1	XP_033330715.1
OG0008019	XP_015436347.1	XP_033333464.1
OG0008020	XP_015434799.1	XP_033328395.1
OG0008021	XP_015438490.1	XP_033331596.1
OG0008022	XP_015437006.1	XP_033340225.1
OG0008023	XP_015437164.1	XP_033343083.1
OG0008024	XP_015436547.1	XP_033334676.1
OG0008025	XP_015429981.1	XP_033328420.1
OG0008026	XP_015431470.1	XP_033323086.1
OG0008027	XP_015431532.1	XP_033323307.1
OG0008028	XP_015440009.1	XP_033339911.1, XP_033322512.1
OG0008029	XP_015431503.1	XP_033333531.1
OG0008030	XP_015435227.1	XP_033323863.1
OG0008031	XP_015438777.1	XP_033342015.1
OG0008032	XP_015438383.1	XP_033340949.1
OG0008033	XP_015430357.1	XP_033338780.1
OG0008034	XP_015439159.1	XP_033336079.1
OG0008035	XP_015440375.1	XP_033329149.1
OG0008038	XP_015438916.1	XP_033329696.1
OG0008039	XP_015439884.1	XP_033327983.1
OG0008040	XP_015440095.1	XP_033328208.1
OG0008041	XP_015437262.1	XP_033327559.1
OG0008042	XP_015430071.1	XP_033332295.1
OG0008043	XP_015431869.1	XP_033332284.1
OG0008044	XP_015431159.1	XP_033322663.1
OG0008045	XP_015431534.1	XP_033322066.1
OG0008046	XP_015437297.1	XP_033342283.1
OG0008048	XP_015433419.1	XP_033320927.1
OG0008049	XP_015429292.1	XP_033329641.1
OG0008050	XP_015434124.1	XP_033330817.1
OG0008051	XP_015431553.1	XP_033339897.1
OG0008052	XP_015435959.1	XP_033329450.1
OG0008053	XP_015429226.1	XP_033332833.1
OG0008054	XP_015429274.1	XP_033334017.1
OG0008055	XP_015429510.1	XP_033329262.1
OG0008056	XP_015437908.1	XP_033325881.1
OG0008057	XP_015433960.1	XP_033321581.1
OG0008058	XP_015438047.1	XP_033328378.1
OG0008059	XP_015428585.1	XP_033322220.1
OG0008060	XP_015437410.1	XP_033342610.1
OG0008061	XP_015437326.1	XP_033342603.1
OG0008062	XP_015431268.1	XP_033320947.1
OG0008063	XP_015431849.1	XP_033330610.1
OG0008064	XP_015430526.1	XP_033337463.1
OG0008065	XP_015439145.1	XP_033336059.1
OG0008066	XP_015429799.1	XP_033326821.1
OG0008067	XP_015433731.1	XP_033333591.1, XP_033333592.1
OG0008068	XP_015433895.1	XP_033333593.1
OG0008069	XP_015433637.1	XP_033326677.1
OG0008070	XP_015431521.1	XP_033335271.1
OG0008071	XP_015440536.1	XP_033335015.1
OG0008072	XP_015440488.1	XP_033334901.1
OG0008073	XP_015434126.1	XP_033336458.1
OG0008074	XP_015433647.1	XP_033327915.1
OG0008075	XP_015432212.1	XP_033332538.1
OG0008076	XP_015430990.1	XP_033337359.1
OG0008077	XP_015434481.1	XP_033328723.1
OG0008078	XP_015434510.1	XP_033332920.1
OG0008079	XP_015432921.1	XP_033328930.1
OG0008080	XP_015430744.1	XP_033324278.1
OG0008081	XP_015430750.1	XP_033336930.1
OG0008082	XP_015430191.1	XP_033340787.1
OG0008083	XP_015430379.1	XP_033338781.1
OG0008085	XP_015432844.1	XP_033328585.1
OG0008086	XP_015431926.1	XP_033338310.1
OG0008088	XP_015429231.1	XP_033329260.1
OG0008089	XP_015435366.1	XP_033341316.1
OG0008090	XP_015437493.1	XP_033337419.1
OG0008091	XP_015435726.1	XP_033329847.1
OG0008092	XP_015432970.1	XP_033322928.1
OG0008093	XP_015432951.1	XP_033322912.1
OG0008094	XP_015430482.1	XP_033327354.1
OG0008095	XP_015432160.1	XP_033338391.1
OG0008096	XP_015431507.1	XP_033326127.1
OG0008097	XP_015436790.1	XP_033322651.1
OG0008098	XP_015433352.1	XP_033324079.1
OG0008099	XP_015433345.1	XP_033324096.1
OG0008100	XP_015439174.1	XP_033336569.1
OG0008101	XP_015430262.1	XP_033338418.1
OG0008102	XP_015433640.1	XP_033326603.1
OG0008103	XP_015435118.1	XP_033327029.1
OG0008104	XP_015435996.1	XP_033329605.1
OG0008105	XP_015429707.1	XP_033339629.1
OG0008106	XP_015432199.1	XP_033338456.1
OG0008107	XP_015432599.1	XP_033331718.1
OG0008108	XP_015428438.1	XP_033334285.1
OG0008109	XP_015439178.1	XP_033336053.1
OG0008110	XP_015435105.1	XP_033329481.1
OG0008111	XP_015431853.1	XP_033323990.1
OG0008112	XP_015428655.1	XP_033324830.1
OG0008113	XP_015437032.1	XP_033334558.1
OG0008114	XP_015429171.1	XP_033321523.1
OG0008115	XP_015430905.1	XP_033337574.1
OG0008116	XP_015431900.1	XP_033323973.1
OG0008117	XP_015438254.1	XP_033340764.1
OG0008118	XP_015438531.1	XP_033325364.1
OG0008119	XP_015429936.1	XP_033329816.1
OG0008120	XP_015429952.1	XP_033328284.1
OG0008121	XP_015439856.1	XP_033324331.1
OG0008122	XP_015435041.1	XP_033342044.1
OG0008123	XP_015432756.1	XP_033334225.1
OG0008125	XP_015437212.1	XP_033323760.1
OG0008126	XP_015435958.1	XP_033329279.1
OG0008127	XP_015431358.1	XP_033325378.1
OG0008128	XP_015439218.1	XP_033336587.1
OG0008129	XP_015432324.1	XP_033334227.1
OG0008130	XP_015433310.1	XP_033324068.1
OG0008131	XP_015432479.1	XP_033324979.1
OG0008132	XP_015432980.1	XP_033328558.1
OG0008133	XP_015433974.1	XP_033341797.1
OG0008135	XP_015436901.1	XP_033335202.1
OG0008136	XP_015430440.1	XP_033330311.1
OG0008137	XP_015437947.1	XP_033324944.1
OG0008138	XP_015433863.1	XP_033327246.1
OG0008139	XP_015428700.1	XP_033335216.1
OG0008140	XP_015431152.1	XP_033329068.1
OG0008141	XP_015435584.1	XP_033327066.1
OG0008142	XP_015430897.1	XP_033332617.1
OG0008143	XP_015433094.1	XP_033327656.1
OG0008144	XP_015429420.1	XP_033340912.1
OG0008145	XP_015439990.1	XP_033321259.1
OG0008146	XP_015432061.1	XP_033326863.1
OG0008147	XP_015437932.1	XP_033330623.1
OG0008148	XP_015429347.1	XP_033326399.1
OG0008149	XP_015435015.1	XP_033341834.1
OG0008150	XP_015431850.1	XP_033337281.1
OG0008151	XP_015430461.1	XP_033340079.1
OG0008152	XP_015432229.1	XP_033325125.1
OG0008153	XP_015430283.1	XP_033335466.1
OG0008154	XP_015429768.1	XP_033322046.1
OG0008155	XP_015429312.1	XP_033322158.1
OG0008156	XP_015430794.1	XP_033336905.1
OG0008157	XP_015433854.1	XP_033323869.1
OG0008158	XP_015434598.1	XP_033338940.1
OG0008159	XP_015435758.1	XP_033325322.1
OG0008160	XP_015433262.1	XP_033328184.1
OG0008161	XP_015428784.1	XP_033329931.1
OG0008162	XP_015428741.1	XP_033334900.1
OG0008163	XP_015433856.1	XP_033336739.1
OG0008164	XP_015435303.1	XP_033328972.1
OG0008165	XP_015431959.1	XP_033327754.1
OG0008166	XP_015438619.1	XP_033339332.1
OG0008167	XP_015432723.1	XP_033332421.1
OG0008168	XP_015432955.1	XP_033340142.1
OG0008169	XP_015439339.1	XP_033333260.1
OG0008170	XP_015429259.1	XP_033332885.1
OG0008171	XP_015429483.1	XP_033334208.1
OG0008172	XP_015437340.1	XP_033342269.1
OG0008173	XP_015433003.1	XP_033322997.1
OG0008174	XP_015431639.1	XP_033323571.1
OG0008175	XP_015439160.1	XP_033335847.1
OG0008176	XP_015428469.1	XP_033338674.1
OG0008177	XP_015439214.1	XP_033336072.1
OG0008178	XP_015434250.1	XP_033321774.1
OG0008179	XP_015436010.1	XP_033334067.1
OG0008180	XP_015429146.1	XP_033321542.1
OG0008181	XP_015435785.1	XP_033321760.1
OG0008182	XP_015438375.1	XP_033339572.1
OG0008183	XP_015428792.1	XP_033327476.1
OG0008184	XP_015430531.1	XP_033340638.1
OG0008185	XP_015429657.1	XP_033338208.1
OG0008186	XP_015440123.1	XP_033337277.1
OG0008187	XP_015438316.1	XP_033339338.1
OG0008188	XP_015431724.1	XP_033326617.1
OG0008189	XP_015429743.1	XP_033332276.1
OG0008190	XP_015432923.1	XP_033340182.1
OG0008191	XP_015438260.1	XP_033329308.1
OG0008192	XP_015438613.1	XP_033330040.1
OG0008193	XP_015431940.1	XP_033343128.1
OG0008194	XP_015431210.1	XP_033337699.1
OG0008195	XP_015432710.1	XP_033338503.1
OG0008196	XP_015431160.1	XP_033337686.1
OG0008197	XP_015433661.1	XP_033326626.1
OG0008198	XP_015432887.1	XP_033340136.1
OG0008199	XP_015429128.1	XP_033321493.1
OG0008200	XP_015440022.1	XP_033337250.1
OG0008201	XP_015437716.1	XP_033342697.1
OG0008202	XP_015436501.1	XP_033324442.1
OG0008203	XP_015438819.1	XP_033342386.1
OG0008204	XP_015428459.1	XP_033338702.1
OG0008205	XP_015428949.1	XP_033331480.1
OG0008206	XP_015437953.1	XP_033327675.1
OG0008207	XP_015433389.1	XP_033324127.1
OG0008208	XP_015436252.1	XP_033334318.1
OG0008209	XP_015430397.1	XP_033330310.1
OG0008210	XP_015433973.1	XP_033341985.1
OG0008211	XP_015430044.1	XP_033340205.1
OG0008212	XP_015431391.1	XP_033330498.1
OG0008213	XP_015438438.1	XP_033340987.1
OG0008214	XP_015432874.1	XP_033328798.1
OG0008215	XP_015435888.1	XP_033323323.1
OG0008216	XP_015436951.1	XP_033331840.1
OG0008217	XP_015429514.1	XP_033333098.1
OG0008218	XP_015435699.1	XP_033333621.1
OG0008219	XP_015438083.1	XP_033322570.1
OG0008220	XP_015438055.1	XP_033333967.1
OG0008221	XP_015434325.1	XP_033325908.1
OG0008223	XP_015428821.1	XP_033335002.1
OG0008224	XP_015435174.1	XP_033337852.1
OG0008225	XP_015431344.1	XP_033340968.1
OG0008226	XP_015436754.1	XP_033328452.1
OG0008227	XP_015437875.1	XP_033332127.1
OG0008228	XP_015437487.1	XP_033327371.1
OG0008229	XP_015439331.1	XP_033322341.1
OG0008230	XP_015437881.1	XP_033328750.1
OG0008231	XP_015438812.1	XP_033342866.1
OG0008232	XP_015431743.1	XP_033329709.1
OG0008233	XP_015428781.1	XP_033337712.1
OG0008234	XP_015438605.1	XP_033339581.1
OG0008235	XP_015428864.1	XP_033331581.1
OG0008236	XP_015430292.1	XP_033335292.1
OG0008237	XP_015430711.1	XP_033327192.1
OG0008238	XP_015436614.1	XP_033334680.1
OG0008239	XP_015435183.1	XP_033333512.1
OG0008240	XP_015437921.1	XP_033329392.1
OG0008241	XP_015439366.1	XP_033324953.1
OG0008242	XP_015434489.1	XP_033322911.1
OG0008243	XP_015438457.1	XP_033339578.1
OG0008244	XP_015435341.1	XP_033328856.1
OG0008245	XP_015430436.1	XP_033340131.1
OG0008246	XP_015436836.1	XP_033326125.1
OG0008247	XP_015437715.1	XP_033342709.1
OG0008248	XP_015439992.1	XP_033324234.1
OG0008249	XP_015437855.1	XP_033335709.1
OG0008250	XP_015436098.1	XP_033331100.1
OG0008251	XP_015439075.1	XP_033336558.1
OG0008252	XP_015434303.1	XP_033323104.1
OG0008253	XP_015430947.1	XP_033337409.1
OG0008254	XP_015432461.1	XP_033320985.1
OG0008255	XP_015430685.1	XP_033337029.1
OG0008256	XP_015429352.1	XP_033339040.1
OG0008257	XP_015433142.1	XP_033324772.1
OG0008258	XP_015436239.1	XP_033339204.1
OG0008259	XP_015429012.1	XP_033334114.1
OG0008260	XP_015431827.1	XP_033330710.1
OG0008261	XP_015438479.1	XP_033330538.1
OG0008262	XP_015435013.1	XP_033341988.1
OG0008263	XP_015432357.1	XP_033331275.1
OG0008264	XP_015433672.1	XP_033327619.1
OG0008265	XP_015430413.1	XP_033327252.1
OG0008267	XP_015437479.1	XP_033337585.1
OG0008268	XP_015432595.1	XP_033336734.1
OG0008269	XP_015430158.1	XP_033340561.1
OG0008270	XP_015432589.1	XP_033336737.1
OG0008271	XP_015435344.1	XP_033341246.1
OG0008272	XP_015435364.1	XP_033341342.1
OG0008273	XP_015429887.1	XP_033328280.1
OG0008274	XP_015437793.1	XP_033342618.1
OG0008275	XP_015437367.1	XP_033340744.1
OG0008276	XP_015432960.1	XP_033341542.1
OG0008277	XP_015435660.1	XP_033334795.1
OG0008278	XP_015429913.1	XP_033328397.1
OG0008279	XP_015431512.1	XP_033326055.1
OG0008280	XP_015435784.1	XP_033327493.1
OG0008281	XP_015434740.1	XP_033324530.1
OG0008282	XP_015440114.1	XP_033339557.1
OG0008283	XP_015432231.1	XP_033325142.1
OG0008284	XP_015432196.1	XP_033325186.1
OG0008285	XP_015438147.1	XP_033325436.1
OG0008286	XP_015435018.1	XP_033341848.1
OG0008287	XP_015437683.1	XP_033330272.1
OG0008288	XP_015428753.1	XP_033332934.1
OG0008289	XP_015429612.1	XP_033329672.1
OG0008290	XP_015436104.1	XP_033321341.1
OG0008291	XP_015431550.1	XP_033321784.1
OG0008292	XP_015433798.1	XP_033329922.1
OG0008293	XP_015439458.1	XP_033324962.1
OG0008294	XP_015435128.1	XP_033333144.1
OG0008295	XP_015440489.1	XP_033342596.1
OG0008296	XP_015439791.1	XP_033328032.1
OG0008297	XP_015428739.1	XP_033329633.1
OG0008298	XP_015429819.1	XP_033340174.1
OG0008299	XP_015430686.1	XP_033326609.1
OG0008300	XP_015433372.1	XP_033339111.1
OG0008301	XP_015428450.1	XP_033338768.1
OG0008302	XP_015434636.1	XP_033333517.1
OG0008303	XP_015428461.1	XP_033338586.1
OG0008304	XP_015430763.1	XP_033326607.1
OG0008305	XP_015428404.1	XP_033337903.1
OG0008306	XP_015428632.1	XP_033341824.1
OG0008307	XP_015430565.1	XP_033340016.1
OG0008308	XP_015438207.1	XP_033340784.1
OG0008309	XP_015439851.1	XP_033327989.1
OG0008310	XP_015438496.1	XP_033331580.1
OG0008311	XP_015436210.1	XP_033321437.1
OG0008312	XP_015434136.1	XP_033336665.1
OG0008313	XP_015430696.1	XP_033338127.1
OG0008314	XP_015437513.1	XP_033337608.1
OG0008315	XP_015429006.1	XP_033330606.1
OG0008316	XP_015434628.1	XP_033322454.1
OG0008317	XP_015436393.1	XP_033323816.1
OG0008318	XP_015435100.1	XP_033329312.1
OG0008319	XP_015434063.1	XP_033336661.1
OG0008320	XP_015432716.1	XP_033326290.1
OG0008321	XP_015428928.1	XP_033325555.1
OG0008322	XP_015437042.1	XP_033342963.1
OG0008323	XP_015433173.1	XP_033342980.1
OG0008324	XP_015430329.1	XP_033338881.1
OG0008325	XP_015439099.1	XP_033335969.1
OG0008326	XP_015436314.1	XP_033333725.1
OG0008327	XP_015430514.1	XP_033330334.1
OG0008328	XP_015436307.1	XP_033333708.1
OG0008329	XP_015431302.1	XP_033326080.1
OG0008330	XP_015430943.1	XP_033327280.1
OG0008331	XP_015440517.1	XP_033342763.1
OG0008332	XP_015435942.1	XP_033321600.1
OG0008333	XP_015439661.1	XP_033324386.1
OG0008334	XP_015436149.1	XP_033332846.1
OG0008335	XP_015430341.1	XP_033338941.1
OG0008336	XP_015432731.1	XP_033326335.1
OG0008337	XP_015440481.1	XP_033342957.1
OG0008338	XP_015434741.1	XP_033324434.1
OG0008339	XP_015439096.1	XP_033335889.1
OG0008340	XP_015434010.1	XP_033341913.1
OG0008341	XP_015433850.1	XP_033321369.1
OG0008342	XP_015435560.1	XP_033334908.1
OG0008343	XP_015436925.1	XP_033326969.1
OG0008344	XP_015435393.1	XP_033325671.1
OG0008345	XP_015439094.1	XP_033336298.1
OG0008346	XP_015430652.1	XP_033326961.1
OG0008347	XP_015439095.1	XP_033335761.1
OG0008348	XP_015435848.1	XP_033321939.1
OG0008349	XP_015438838.1	XP_033334921.1
OG0008350	XP_015438054.1	XP_033339093.1
OG0008351	XP_015439952.1	XP_033325624.1
OG0008352	XP_015440493.1	XP_033342469.1
OG0008353	XP_015438715.1	XP_033325196.1
OG0008354	XP_015439066.1	XP_033335957.1
OG0008355	XP_015434892.1	XP_033342125.1
OG0008356	XP_015439038.1	XP_033335801.1
OG0008357	XP_015434846.1	XP_033342093.1
OG0008358	XP_015434644.1	XP_033322548.1
OG0008359	XP_015438656.1	XP_033325030.1
OG0008360	XP_015439865.1	XP_033337166.1
OG0008361	XP_015434655.1	XP_033322546.1
OG0008362	XP_015437274.1	XP_033330086.1
OG0008363	XP_015439389.1	XP_033341617.1
OG0008364	XP_015432178.1	XP_033326267.1
OG0008365	XP_015431812.1	XP_033330651.1
OG0008366	XP_015432201.1	XP_033326107.1
OG0008367	XP_015437969.1	XP_033343069.1
OG0008368	XP_015428701.1	XP_033332965.1
OG0008369	XP_015437985.1	XP_033341607.1
OG0008370	XP_015435540.1	XP_033334980.1
OG0008371	XP_015430768.1	XP_033337030.1
OG0008372	XP_015430195.1	XP_033331014.1
OG0008373	XP_015430189.1	XP_033331042.1
OG0008374	XP_015437967.1	XP_033340790.1
OG0008375	XP_015437607.1	XP_033338070.1
OG0008376	XP_015437578.1	XP_033322948.1
OG0008377	XP_015430690.1	XP_033327222.1
OG0008378	XP_015432478.1	XP_033342537.1
OG0008379	XP_015433662.1	XP_033321807.1
OG0008380	XP_015438189.1	XP_033341055.1
OG0008382	XP_015431458.1	XP_033322171.1
OG0008383	XP_015430706.1, XP_015430705.1	XP_033338103.1
OG0008384	XP_015439716.1	XP_033324231.1
OG0008385	XP_015434404.1	XP_033333068.1
OG0008386	XP_015436409.1	XP_033327933.1, XP_033327936.1, XP_033333458.1
OG0008388	XP_015439567.1	XP_033325810.1
OG0008389	XP_015431355.1	XP_033320979.1
OG0008390	XP_015431275.1	XP_033320928.1
OG0008391	XP_015437052.1	XP_033334937.1
OG0008392	XP_015432656.1	XP_033332456.1
OG0008393	XP_015434724.1	XP_033324457.1
OG0008395	XP_015438911.1	XP_033323924.1, XP_033323925.1
OG0008396	XP_015435611.1	XP_033340203.1
OG0008397	XP_015432612.1	XP_033322646.1
OG0008398	XP_015430540.1	XP_033327254.1
OG0008399	XP_015430772.1	XP_033326608.1
OG0008400	XP_015440133.1	XP_033324226.1
OG0008402	XP_015435198.1	XP_033340248.1
OG0008403	XP_015429543.1, XP_015429531.1	XP_033338330.1
OG0008404	XP_015438347.1	XP_033340553.1, XP_033340552.1
OG0008405	XP_015439603.1	XP_033325435.1
OG0008406	XP_015431032.1	XP_033329051.1
OG0008407	XP_015429739.1	XP_033339636.1
OG0008408	XP_015440437.1	XP_033334959.1
OG0008409	XP_015432679.1	XP_033326324.1, XP_033326327.1
OG0008410	XP_015434289.1	XP_033323079.1
OG0008411	XP_015428943.1	XP_033331438.1
OG0008412	XP_015431557.1	XP_033326148.1
OG0008413	XP_015435383.1	XP_033328575.1
OG0008414	XP_015433593.1	XP_033326524.1
OG0008415	XP_015429792.1	XP_033340300.1
OG0008417	XP_015436968.1	XP_033323418.1
OG0008418	XP_015428972.1	XP_033321548.1
OG0008419	XP_015439713.1	XP_033321966.1
OG0008420	XP_015432055.1	XP_033337866.1, XP_033337816.1
OG0008421	XP_015438314.1	XP_033322966.1
OG0008424	XP_015434596.1	XP_033339881.1, XP_033340297.1, XP_033326120.1
OG0008430	XP_015437878.1	XP_033339929.1, XP_033329668.1
OG0008433	XP_015434719.1	XP_033324520.1
OG0008434	XP_015430423.1	XP_033340089.1
OG0008435	XP_015436919.1	XP_033335593.1
OG0008436	XP_015435502.1	XP_033334525.1
OG0008437	XP_015439153.1	XP_033324022.1
OG0008438	XP_015432637.1	XP_033341744.1
OG0008439	XP_015436884.1	XP_033335659.1
OG0008448	XP_015436527.1	XP_033323111.1
OG0008450	XP_015439152.1	XP_033336064.1
OG0008452	XP_015429053.1	XP_033338767.1
OG0008453	XP_015437102.1	XP_033321832.1
OG0008455	XP_015436936.1	XP_033326684.1
OG0008458	XP_015438223.1	XP_033322606.1
OG0008459	XP_015432839.1	XP_033341122.1
OG0008461	XP_015432635.1	XP_033341745.1
OG0008462	XP_015430993.1	XP_033323729.1
OG0008465	XP_015438011.1	XP_033320834.1
OG0008474	XP_015431445.1	XP_033329833.1
OG0008475	XP_015432634.1	XP_033341737.1
OG0008476	XP_015432219.1	XP_033325127.1
OG0008477	XP_015431568.1	XP_033321630.1
OG0008478	XP_015435035.1	XP_033342004.1
OG0008479	XP_015436832.1	XP_033326138.1
OG0008480	XP_015434379.1	XP_033332097.1
OG0008481	XP_015440403.1	XP_033337123.1
OG0008483	XP_015436949.1	XP_033337089.1
OG0008485	XP_015432413.1	XP_033340102.1
OG0008486	XP_015435213.1	XP_033332162.1
OG0008490	XP_015429777.1	XP_033321718.1
OG0008491	XP_015437510.1	XP_033327492.1
OG0008493	XP_015439548.1	XP_033338221.1
OG0008494	XP_015440496.1	XP_033335168.1
OG0008496	XP_015435702.1	XP_033339711.1
OG0008497	XP_015440492.1	XP_033335152.1
OG0008498	XP_015435108.1	XP_033329381.1
OG0008499	XP_015432384.1	XP_033330174.1
OG0008502	XP_015430637.1	XP_033338095.1
OG0008504	XP_015436041.1	XP_033333421.1
OG0008505	XP_015430224.1	XP_033336544.1, XP_033336545.1
OG0008506	XP_015434045.1	XP_033330828.1, XP_033330916.1
OG0008507	XP_015433785.1	XP_033329955.1
OG0008508	XP_015429193.1	XP_033332769.1
OG0008511	XP_015433660.1	XP_033321790.1
OG0008512	XP_015429771.1	XP_033321587.1
OG0008514	XP_015438031.1	XP_033330267.1
OG0008515	XP_015429525.1	XP_033333026.1
OG0008516	XP_015429527.1	XP_033333028.1
OG0008517	XP_015438142.1	XP_033334347.1
