HOG	OG	Gene Tree Parent Clade	Apis_mellifera	Bombus_terrestris	Ceratina_calcarata	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria
N2.HOG0009100	OG0008267	n0			XP_017883155.1	XP_015439945.1				XP_033334061.1	XP_031833684.1	XP_029046473.1	XP_034177306.1
N2.HOG0009101	OG0008268	n0			XP_017881695.1	XP_015436943.1			XP_003708385.1		XP_031842272.1	XP_029044354.1	XP_034173904.1
N2.HOG0009102	OG0008269	n0			XP_017879479.2	XP_015439839.1				XP_033328145.1	XP_031825420.1	XP_029052511.1	XP_034177621.1
N2.HOG0009103	OG0008270	n0			XP_026668790.1	XP_015440486.1			XP_003699272.2	XP_033334891.1	XP_031850182.1	XP_029049145.1	XP_034193212.1
N2.HOG0009104	OG0008271	n0			XP_017877697.1	XP_015430615.1			XP_012139946.1	XP_033336755.1	XP_031845102.1	XP_029035642.1	XP_034174530.1
N2.HOG0009105	OG0008272	n0			XP_017876207.1	XP_015436144.1			XP_012140183.1	XP_033333404.1		XP_029053290.1	XP_034186144.1
N2.HOG0009106	OG0008273	n0				XP_015437983.1			XP_003708580.1	XP_033340985.1	XP_031843191.1	XP_029039549.1	XP_034179764.1
N2.HOG0009107	OG0008274	n0			XP_017875608.1	XP_015430997.1			XP_003701750.1	XP_033322757.1	XP_031836536.1	XP_029040095.1	XP_034193665.1
N2.HOG0009108	OG0008275	n0			XP_017881609.1	XP_015439081.1			XP_003708270.1	XP_033336065.1	XP_031833001.1	XP_029043475.1	
N2.HOG0009109	OG0008276	n0			XP_017878085.1	XP_015428717.1			XP_003706453.1	XP_033337702.1	XP_031846365.1	XP_029050297.1	XP_034190422.1
N2.HOG0009110	OG0008277	n0			XP_017880464.1	XP_015430030.1			XP_012138157.1	XP_033340393.1	XP_031846786.1	XP_029055662.1	XP_034172448.1
N2.HOG0009111	OG0008278	n0			XP_017893395.1	XP_015432373.1			XP_012143119.1	XP_033332034.1	XP_031827756.1	XP_029036114.1	
N2.HOG0009112	OG0008279	n0			XP_017893458.1	XP_015432410.1			XP_003704202.1	XP_033333436.1	XP_031845833.1	XP_029036068.1	XP_034178814.1
N2.HOG0009113	OG0008280	n0			XP_017887856.2	XP_015429996.1				XP_033340357.1	XP_031840493.1	XP_029046897.1	XP_034178477.1
N2.HOG0009114	OG0008281	n0			XP_026673788.1	XP_015429694.1			XP_012153789.1	XP_033339533.1	XP_031828487.1	XP_029042777.1	XP_034176571.1
N2.HOG0009115	OG0008282	n0			XP_017875049.1	XP_015431004.1			XP_012145722.1	XP_033333429.1	XP_031836696.1	XP_029040167.1	XP_034195326.1
N2.HOG0009116	OG0008283	n0				XP_015431993.1			XP_003705885.1	XP_033321072.1	XP_031840214.1	XP_029048086.1	XP_034194911.1
N2.HOG0009117	OG0008284	n0			XP_026667388.1	XP_015433508.1			XP_003701178.1		XP_031829885.1	XP_029052311.1	XP_034184888.1
N2.HOG0009118	OG0008285	n0			XP_017891647.1	XP_015430166.1			XP_012136199.1	XP_033339474.1	XP_031838235.1		XP_034179284.1
N2.HOG0009119	OG0008286	n0			XP_017881139.1	XP_015433454.1			XP_012143755.1		XP_031849069.1	XP_029036972.1	XP_034190060.1
N2.HOG0009120	OG0008287	n0				XP_015431615.1			XP_003703944.2	XP_033336785.1	XP_031845121.1	XP_029035532.1	XP_034174085.1
N2.HOG0009121	OG0008288	n0			XP_017884167.1	XP_015431875.1			XP_003701704.1		XP_031836311.1	XP_029054372.1	XP_034196474.1
N2.HOG0009122	OG0008289	n0			XP_026670668.1	XP_015438031.1			XP_003704230.1	XP_033330267.1		XP_029050364.1	XP_034178712.1
N2.HOG0009123	OG0008290	n0			XP_017882765.1	XP_015434697.1			XP_012134899.1	XP_033324546.1	XP_031828541.1		XP_034187202.1
N2.HOG0009124	OG0008291	n0				XP_015431397.1			XP_003706788.1	XP_033340724.1	XP_031843908.1	XP_029040568.1	XP_034183772.1
N2.HOG0009125	OG0008292	n0			XP_017888630.1				XP_003704619.1	XP_033331902.1	XP_031826132.1	XP_029051594.1	XP_034195347.1
N2.HOG0009126	OG0008293	n0			XP_017887687.1	XP_015435813.1			XP_003705573.2		XP_031831562.1	XP_029032156.1	XP_034193188.1
N2.HOG0009127	OG0008294	n0			XP_017887692.1	XP_015435300.1			XP_003705584.1		XP_031831579.1	XP_029032160.1	XP_034193195.1
N2.HOG0009128	OG0008295	n0			XP_026666812.1	XP_015428624.1				XP_033323431.1	XP_031832319.1	XP_029052836.1	XP_034178230.1
N2.HOG0009129	OG0008296	n0			XP_017893446.1	XP_015432330.1				XP_033331998.1	XP_031825444.1	XP_029036181.1	XP_034178788.1
N2.HOG0009130	OG0008297	n0			XP_026675308.1	XP_015436475.1			XP_012152683.1	XP_033336487.1	XP_031837158.1	XP_029039395.1	
N2.HOG0009131	OG0008298	n0			XP_017891504.2	XP_015439278.1			XP_012145414.1		XP_031829475.1	XP_029039502.1	XP_034179154.1
N2.HOG0009132	OG0008299	n0			XP_017889843.1	XP_015437964.1			XP_003704761.1		XP_031847416.1	XP_029040932.1	XP_034179215.1
N2.HOG0009133	OG0008300	n0			XP_026674201.1	XP_015430186.1			XP_012143909.1		XP_031843271.1	XP_029040831.1	XP_034178875.1
N2.HOG0009134	OG0008301	n0			XP_017891643.1	XP_015433166.1			XP_003705511.1	XP_033340160.1	XP_031847296.1	XP_029049293.1	XP_034179767.1
N2.HOG0009135	OG0008302	n0			XP_017878090.2	XP_015439318.1			XP_012136352.1		XP_031825737.1	XP_029034854.1	XP_034179644.1
N2.HOG0009136	OG0008303	n0			XP_026673496.1	XP_015434702.1			XP_003700734.2	XP_033324549.1	XP_031849885.1	XP_029043038.1	XP_034187141.1
N2.HOG0009137	OG0008304	n0			XP_026672665.1	XP_015431597.1			XP_012134754.1		XP_031837795.1	XP_029050117.1	XP_034194165.1
N2.HOG0009138	OG0008305	n0			XP_017891029.1	XP_015432814.1			XP_012144656.1	XP_033328953.1	XP_031839275.1, XP_031826231.1	XP_029048758.1	XP_034172333.1
N2.HOG0009139	OG0008306	n0			XP_017884416.1				XP_003703087.1	XP_033331835.1	XP_031828089.1	XP_029055565.1	XP_034175221.1
N2.HOG0009140	OG0008307	n0			XP_026673467.1	XP_015436146.1				XP_033323647.1	XP_031846209.1	XP_029046021.1	XP_034183607.1
N2.HOG0009141	OG0008308	n0			XP_026667444.1	XP_015430580.1			XP_003702699.1		XP_031842060.1	XP_029051096.1	XP_034195549.1
N2.HOG0009142	OG0008309	n0			XP_017885658.1				XP_003707179.1	XP_033337843.1	XP_031849203.1	XP_029035198.1	XP_034173578.1
N2.HOG0009143	OG0008310	n0			XP_017883854.1	XP_015435055.1			XP_012136431.1	XP_033341852.1	XP_031833920.1	XP_029043213.1	
N2.HOG0009144	OG0008311	n0			XP_017879397.1	XP_015433993.1				XP_033342063.1	XP_031832497.1	XP_029034126.1	XP_034188916.1
N2.HOG0009145	OG0008312	n0			XP_017879192.1	XP_015432545.1			XP_012135111.1		XP_031834825.1	XP_029041550.1	XP_034171634.1
N2.HOG0009146	OG0008313	n0			XP_017879182.1	XP_015431984.1			XP_003700849.1		XP_031834580.1	XP_029041520.1	XP_034171630.1
N2.HOG0009147	OG0008314	n0			XP_017876894.1	XP_015435011.1			XP_003702229.1		XP_031834600.1	XP_029043617.1	XP_034196458.1
N2.HOG0009148	OG0008315	n0			XP_026667801.1	XP_015435010.1			XP_012138280.1		XP_031834845.1	XP_029043699.1	XP_034171591.1
N2.HOG0009149	OG0008316	n0			XP_017876919.1	XP_015434963.1			XP_003702224.1		XP_031834853.1	XP_029043702.1	XP_034171598.1
N2.HOG0009150	OG0008317	n0			XP_026671452.1	XP_015435045.1			XP_003702222.1		XP_031834856.1	XP_029043708.1	XP_034171601.1
N2.HOG0009151	OG0008318	n0			XP_026671449.1	XP_015434980.1			XP_003702221.1		XP_031834854.1	XP_029043703.1	XP_034171589.1
N2.HOG0009152	OG0008319	n0			XP_017884314.1	XP_015434981.1			XP_012138269.1		XP_031834858.1	XP_029043689.1	XP_034172024.1
N2.HOG0009153	OG0008320	n0			XP_017876849.1	XP_015433031.1			XP_003702263.1		XP_031834785.1	XP_029056626.1	XP_034170986.1
N2.HOG0009154	OG0008321	n0			XP_017878222.1	XP_015439614.1			XP_003700871.1		XP_031834577.1	XP_029056528.1	XP_034170911.1
N2.HOG0009155	OG0008322	n0			XP_017884169.1	XP_015439611.1			XP_003700870.2		XP_031834739.1	XP_029056605.1	XP_034170977.1
N2.HOG0009156	OG0008323	n0			XP_017892772.1	XP_015429126.1			XP_003699565.1		XP_031843288.1	XP_029055871.1	XP_034171204.1
N2.HOG0009157	OG0008324	n0			XP_026674995.1	XP_015429070.1			XP_012135068.1		XP_031834955.1	XP_029031954.1	XP_034170851.1
N2.HOG0009158	OG0008325	n0			XP_017886126.1	XP_015432596.1			XP_003701667.2	XP_033341741.1	XP_031850436.1	XP_029033735.1	XP_034188360.1
N2.HOG0009159	OG0008326	n0			XP_017882492.1	XP_015434378.1				XP_033325853.1	XP_031840727.1	XP_029038620.1	XP_034182384.1
N2.HOG0009160	OG0008327	n0			XP_017880593.1	XP_015435916.1			XP_012147427.1	XP_033321792.1	XP_031840853.1	XP_029033802.1	
N2.HOG0009161	OG0008328	n0				XP_015436927.1			XP_003699416.1	XP_033326573.1	XP_031842367.1	XP_029035850.1	XP_034174452.1
N2.HOG0009162	OG0008329	n0				XP_015439595.1			XP_003704996.1	XP_033332370.1	XP_031846092.1	XP_029032460.1	XP_034174498.1
N2.HOG0009163	OG0008330	n0			XP_017879822.1				XP_012145247.1	XP_033338326.1	XP_031833545.1	XP_029041318.1	XP_034176810.1
N2.HOG0009164	OG0008331	n0			XP_017890057.1	XP_015439985.1				XP_033328119.1	XP_031833919.1	XP_029036458.1	XP_034192769.1
N2.HOG0009165	OG0008332	n0			XP_017884690.1	XP_015435247.1				XP_033332275.1	XP_031828590.1	XP_029043257.1	XP_034189285.1
N2.HOG0009166	OG0008333	n0			XP_017890630.1	XP_015429425.1			XP_012141592.1	XP_033328411.1	XP_031826226.1	XP_029040004.1	XP_034182741.1
N2.HOG0009167	OG0008334	n0			XP_017892975.1	XP_015437525.1			XP_012135629.1	XP_033337320.1	XP_031830211.1		XP_034190338.1
N2.HOG0009168	OG0008335	n0				XP_015436327.1			XP_003700164.2	XP_033332394.1	XP_031842080.1	XP_029039258.1	XP_034184516.1
N2.HOG0009169	OG0008336	n0			XP_017881190.1	XP_015436124.1			XP_003707576.1	XP_033332940.1	XP_031841717.1		XP_034174137.1
N2.HOG0009170	OG0008337	n0			XP_017884030.1	XP_015434373.1			XP_003706072.1	XP_033331264.1	XP_031848307.1	XP_029053215.1	
N2.HOG0009171	OG0008338	n0			XP_017887589.1	XP_015438046.1			XP_012140974.1	XP_033339094.1	XP_031832241.1	XP_029051804.1	XP_034188009.1
N2.HOG0009172	OG0008339	n0			XP_017878405.1	XP_015438845.1			XP_003699975.1	XP_033342870.1	XP_031849444.1	XP_029051334.1	
N2.HOG0009173	OG0008340	n0			XP_017886123.1	XP_015433653.1			XP_003699907.1		XP_031841053.1	XP_029044054.1	XP_034188207.1
N2.HOG0009174	OG0008341	n0			XP_017881206.1	XP_015436189.1			XP_003707550.1	XP_033325572.1	XP_031835205.1		XP_034184396.1
N2.HOG0009175	OG0008342	n0			XP_026667648.1				XP_003706781.1	XP_033340593.1	XP_031825942.1	XP_029050526.1	XP_034185922.1
N2.HOG0009176	OG0008343	n0			XP_026671114.1	XP_015430389.1			XP_012154359.1		XP_031827195.1	XP_029051026.1	XP_034187030.1
N2.HOG0009177	OG0008344	n0			XP_017880970.1	XP_015433706.1			XP_003699841.1	XP_033321741.1	XP_031840674.1	XP_029046107.1	
N2.HOG0009178	OG0008345	n0			XP_017884227.1	XP_015439613.1			XP_003700963.1		XP_031834731.1	XP_029031987.1	XP_034171269.1
N2.HOG0009179	OG0008346	n0				XP_015438734.1			XP_003707218.1	XP_033327880.1	XP_031843406.1	XP_029049064.1	XP_034175565.1
N2.HOG0009180	OG0008347	n0			XP_017890982.1	XP_015428556.1				XP_033342005.1	XP_031833038.1	XP_029037307.1	XP_034175621.1
N2.HOG0009181	OG0008348	n0			XP_017879973.1	XP_015438056.1			XP_003703636.1	XP_033339122.1	XP_031832251.1	XP_029051040.1	
N2.HOG0009182	OG0008349	n0			XP_017890695.1	XP_015439849.1			XP_003707357.1	XP_033328138.1	XP_031833621.1	XP_029036404.1	
N2.HOG0009183	OG0008350	n0			XP_017884967.1	XP_015434128.1			XP_003708355.1		XP_031829566.1	XP_029043436.1	XP_034191488.1
N2.HOG0009184	OG0008351	n0			XP_026674531.1	XP_015437742.1			XP_003699281.1	XP_033334927.1	XP_031849213.1		XP_034193375.1
N2.HOG0009185	OG0008352	n0			XP_017880470.1	XP_015429137.1			XP_003706764.1		XP_031834041.1	XP_029032143.1	XP_034196622.1
N2.HOG0009186	OG0008353	n0			XP_017880545.1	XP_015429048.1			XP_003706774.2		XP_031833975.1	XP_029032121.1	XP_034196591.1
N2.HOG0009187	OG0008354	n0			XP_017887626.1				XP_003705579.2	XP_033332078.1	XP_031831625.1	XP_029042308.1	XP_034176454.1
N2.HOG0009188	OG0008355	n0			XP_017889915.1	XP_015432435.1				XP_033320918.1	XP_031842791.1	XP_029045799.1	XP_034193518.1
N2.HOG0009189	OG0008356	n0				XP_015433261.1			XP_012144984.1	XP_033324641.1	XP_031831550.1	XP_029055851.1	XP_034177069.1
N2.HOG0009190	OG0008357	n0			XP_017891415.1	XP_015436691.1			XP_003700325.1		XP_031831561.1	XP_029038360.1	XP_034175601.1
N2.HOG0009191	OG0008358	n0			XP_017879627.1	XP_015436655.1			XP_012153691.1		XP_031831332.1	XP_029038340.1	XP_034175584.1
N2.HOG0009192	OG0008359	n0			XP_017876780.1	XP_015431899.1			XP_003702260.1		XP_031835632.1	XP_029031994.1	XP_034170992.1
N2.HOG0009193	OG0008360	n0				XP_015438087.1			XP_003703033.1	XP_033326585.1	XP_031842366.1	XP_029035568.1	XP_034174051.1
N2.HOG0009194	OG0008361	n0			XP_026667693.1	XP_015438454.1				XP_033331688.1	XP_031825857.1	XP_029040464.1	XP_034183461.1
N2.HOG0009195	OG0008362	n0			XP_017876835.1	XP_015431530.1			XP_012136760.1		XP_031835609.1	XP_029056472.1	XP_034172052.1
N2.HOG0009196	OG0008363	n0				XP_015431988.1			XP_003705890.1	XP_033321062.1	XP_031840216.1	XP_029040161.1	XP_034196333.1
N2.HOG0009197	OG0008364	n0			XP_017890944.1	XP_015438676.1			XP_003706653.1		XP_031840124.1	XP_029041115.1	XP_034194162.1
N2.HOG0009198	OG0008365	n0				XP_015430722.1			XP_003703942.1	XP_033336865.1	XP_031845184.1	XP_029035633.1	XP_034173798.1
N2.HOG0009199	OG0008366	n0			XP_017887154.1	XP_015429584.1				XP_033332854.1	XP_031834033.1	XP_029045099.1	XP_034188084.1
N2.HOG0009200	OG0008367	n0				XP_015436277.1			XP_003707572.1	XP_033333770.1	XP_031841550.1	XP_029041477.1	XP_034178700.1
N2.HOG0009201	OG0008368	n0			XP_017877083.1	XP_015433459.1			XP_003704657.1		XP_031843728.1	XP_029047506.1	XP_034183620.1
N2.HOG0009202	OG0008369	n0			XP_017884436.1	XP_015439133.1			XP_012139885.1	XP_033336551.1	XP_031833159.1	XP_029045435.1	XP_034180104.1
N2.HOG0009203	OG0008370	n0			XP_017892934.1	XP_015433631.1			XP_003701787.2	XP_033327446.1	XP_031830013.1	XP_029033384.1	XP_034185598.1
N2.HOG0009204	OG0008371	n0				XP_015429169.1			XP_012148676.1	XP_033342192.1	XP_031843321.1	XP_029031853.1	XP_034196620.1
N2.HOG0009205	OG0008372	n0			XP_026666495.1	XP_015429050.1			XP_003706763.1		XP_031831477.1	XP_029032119.1	XP_034196588.1
N2.HOG0009206	OG0008373	n0			XP_017887607.1	XP_015429811.1			XP_003708467.1	XP_033326822.1		XP_029032376.1	XP_034188861.1
N2.HOG0009207	OG0008374	n0			XP_017892449.1	XP_015437837.1			XP_003707229.1		XP_031834550.1	XP_029040582.1	XP_034188244.1
N2.HOG0009208	OG0008375	n0			XP_026671226.1	XP_015435091.1			XP_012140935.1		XP_031831923.1	XP_029053175.1	XP_034192502.1
N2.HOG0009209	OG0008376	n0			XP_017880713.1	XP_015433648.1			XP_003699889.1	XP_033326444.1		XP_029046237.1	XP_034194227.1
N2.HOG0009210	OG0008377	n0			XP_017879649.1	XP_015429750.1			XP_003702352.1		XP_031848656.1	XP_029034381.1	XP_034189358.1
N2.HOG0009211	OG0008378	n0			XP_017877916.1	XP_015431618.1			XP_012137685.1	XP_033327184.1	XP_031833344.1		XP_034174765.1
N2.HOG0009212	OG0008379	n0			XP_017882218.2	XP_015428710.1				XP_033329191.1	XP_031841207.1	XP_029035333.1	XP_034173799.1
N2.HOG0009213	OG0008380	n0			XP_017891196.1	XP_015435114.1			XP_003703493.1	XP_033333049.1	XP_031832311.1	XP_029038221.1	XP_034181460.1
N2.HOG0009214	OG0008381	n0			XP_017879605.1	XP_015440118.1			XP_003702665.1		XP_031825306.1	XP_029045740.1	XP_034177696.1
N2.HOG0009215	OG0008382	n0			XP_026667546.1	XP_015435020.1			XP_003704477.1		XP_031833793.1	XP_029056546.1	XP_034171162.1
N2.HOG0009216	OG0008383	n0			XP_017882293.1	XP_015438604.1			XP_003706805.1	XP_033339582.1	XP_031830940.1	XP_029040479.1	XP_034183852.1
N2.HOG0009217	OG0008384	n0			XP_017882993.1	XP_015431894.1			XP_012139217.1		XP_031833842.1	XP_029052713.1	XP_034174826.1
N2.HOG0009218	OG0008385	n0			XP_017879500.1	XP_015439635.1				XP_033332968.1	XP_031834002.1	XP_029033411.1	XP_034185440.1
N2.HOG0009219	OG0008386	n0			XP_017877270.1	XP_015433388.1			XP_003707503.1	XP_033329970.1	XP_031841097.1	XP_029052966.1	XP_034184759.1
N2.HOG0009220	OG0008387	n0			XP_017886351.1	XP_015439425.1			XP_012153235.1	XP_033322371.1	XP_031842478.1	XP_029052499.1	XP_034195234.1
N2.HOG0009221	OG0008388	n0			XP_026670784.1	XP_015440291.1			XP_012142604.1	XP_033321366.1		XP_029056393.1	XP_034178964.1
N2.HOG0009222	OG0008389	n0			XP_017888011.1	XP_015437006.1			XP_012138133.1	XP_033340225.1	XP_031846773.1	XP_029055390.1	
N2.HOG0009223	OG0008390	n0			XP_017877343.1				XP_003708674.1	XP_033325335.1	XP_031842314.1	XP_029049392.1	XP_034195103.1
N2.HOG0009224	OG0008391	n0			XP_026667849.1	XP_015433447.1			XP_003705279.2		XP_031848880.1	XP_029051575.1	XP_034183230.1
N2.HOG0009225	OG0008392	n0			XP_017886479.1	XP_015435039.1			XP_012147579.1	XP_033325449.1	XP_031845928.1	XP_029044698.1	
N2.HOG0009226	OG0008393	n0			XP_017883005.2	XP_015439710.1				XP_033324121.1	XP_031845677.1	XP_029046456.1	XP_034176901.1
N2.HOG0009227	OG0008394	n0			XP_026674212.1	XP_015430171.1			XP_003704743.2		XP_031843273.1	XP_029040842.1	XP_034178892.1
N2.HOG0009228	OG0008395	n0			XP_017889816.1	XP_015430172.1			XP_012143916.1		XP_031843052.1	XP_029040836.1	XP_034178882.1
N2.HOG0009229	OG0008396	n0			XP_017886433.1	XP_015430184.1			XP_012153492.1		XP_031825789.1	XP_029039567.1	XP_034178949.1
N2.HOG0009230	OG0008397	n0			XP_017890934.1	XP_015438969.1			XP_012148397.1		XP_031840130.1	XP_029048128.1	XP_034195658.1
N2.HOG0009231	OG0008398	n0			XP_017887734.1	XP_015436684.1			XP_003705564.1		XP_031831513.1	XP_029032652.1	XP_034193194.1
N2.HOG0009232	OG0008399	n0			XP_017887733.1	XP_015436695.1			XP_012145978.1		XP_031831512.1	XP_029032629.1	XP_034193163.1
N2.HOG0009233	OG0008400	n0			XP_017885006.1	XP_015434076.1			XP_012152011.1		XP_031829649.1	XP_029037441.1	XP_034191552.1
N2.HOG0009234	OG0008401	n0			XP_017889173.1	XP_015432909.1			XP_003705041.1		XP_031827294.1	XP_029034091.1	XP_034172470.1
N2.HOG0009235	OG0008402	n0			XP_017893500.2	XP_015437867.1			XP_003699222.2	XP_033326398.1	XP_031834389.1	XP_029044342.1	
N2.HOG0009236	OG0008403	n0			XP_026674977.1	XP_015438718.1			XP_012141974.1		XP_031834350.1	XP_029039297.1	XP_034187367.1
N2.HOG0009237	OG0008404	n0			XP_017879396.1	XP_015433996.1			XP_003701460.1	XP_033342032.1		XP_029043170.1	XP_034188800.1
N2.HOG0009238	OG0008405	n0			XP_017876210.1	XP_015436301.1			XP_003699592.1	XP_033333407.1	XP_031840157.1	XP_029053282.1	XP_034186176.1
N2.HOG0009239	OG0008406	n0			XP_026670048.1	XP_015439145.1			XP_003708271.2	XP_033336059.1	XP_031833000.1	XP_029043470.1	
N2.HOG0009240	OG0008407	n0			XP_017879502.1	XP_015436696.1			XP_012153687.1		XP_031831567.1	XP_029038364.1	XP_034175606.1
N2.HOG0009241	OG0008408	n0			XP_017879067.2	XP_015436539.1				XP_033335091.1	XP_031838478.1	XP_029052876.1	XP_034176018.1
N2.HOG0009242	OG0008409	n0				XP_015432538.1			XP_012146513.1	XP_033322647.1	XP_031838990.1	XP_029053277.1	XP_034183509.1
N2.HOG0009243	OG0008410	n0				XP_015433731.1			XP_003702209.1	XP_033333591.1	XP_031836956.1	XP_029032469.1	XP_034174364.1
N2.HOG0009244	OG0008411	n0			XP_017888466.1	XP_015434719.1			XP_012144480.1	XP_033324520.1	XP_031849962.1	XP_029039000.1	XP_034186846.1
N2.HOG0009245	OG0008412	n0			XP_017886928.1	XP_015431479.1			XP_003700655.1		XP_031837824.1	XP_029050118.1	XP_034194172.1
N2.HOG0009246	OG0008413	n0			XP_017886881.1	XP_015433821.1			XP_003700728.1		XP_031837826.1	XP_029042020.1	XP_034186386.1
N2.HOG0009247	OG0008414	n0			XP_017877642.1	XP_015430427.1			XP_003702505.1	XP_033332566.1		XP_029044221.1	XP_034185318.1
N2.HOG0009248	OG0008415	n0			XP_017876401.1	XP_015433302.1			XP_012145203.1	XP_033337261.1	XP_031833562.1	XP_029042176.1	
N2.HOG0009249	OG0008416	n0			XP_017892708.1	XP_015430938.1			XP_012139998.1	XP_033330519.1	XP_031829037.1	XP_029040140.1	
N2.HOG0009250	OG0008417	n0			XP_017875492.1	XP_015432969.1			XP_012151655.1	XP_033328927.1	XP_031848479.1	XP_029034055.1	
N2.HOG0009251	OG0008418	n0				XP_015431617.1			XP_012142030.1	XP_033336869.1	XP_031845124.1	XP_029032443.1	XP_034173771.1
N2.HOG0009252	OG0008419	n0			XP_017889589.1	XP_015439442.1				XP_033324653.1	XP_031842503.1	XP_029036805.1	XP_034193702.1
N2.HOG0009253	OG0008420	n0			XP_017892247.1				XP_012145377.1	XP_033333112.1	XP_031834139.1	XP_029045087.1	XP_034188022.1
N2.HOG0009254	OG0008421	n0				XP_015436958.1			XP_012142034.1	XP_033327161.1	XP_031833261.1	XP_029033566.1	XP_034174513.1
N2.HOG0009255	OG0008422	n0			XP_017880758.1	XP_015433681.1			XP_012146498.1	XP_033341716.1	XP_031849525.1	XP_029046137.1	XP_034194279.1
N2.HOG0009256	OG0008423	n0			XP_017884762.1	XP_015436790.1				XP_033322651.1	XP_031847349.1	XP_029055352.1	XP_034193485.1
N2.HOG0009257	OG0008424	n0			XP_017879200.1	XP_015439738.1				XP_033324322.1	XP_031831503.1	XP_029043827.1, XP_029043813.1	XP_034177033.1, XP_034177028.1
N2.HOG0009258	OG0008425	n0			XP_026671124.1	XP_015430352.1				XP_033338431.1	XP_031827093.1	XP_029050747.1	XP_034186866.1
N2.HOG0009259	OG0008426	n0			XP_017881142.1	XP_015433452.1			XP_012149539.1		XP_031849107.1	XP_029046033.1	XP_034183893.1
N2.HOG0009260	OG0008427	n0			XP_017880118.1	XP_015434587.1			XP_012147256.1	XP_033322523.1	XP_031827497.1	XP_029038890.1	XP_034183058.1
N2.HOG0009261	OG0008428	n0			XP_017884396.1	XP_015439178.1			XP_003702856.1	XP_033336053.1	XP_031848083.1	XP_029043469.1	
N2.HOG0009262	OG0008429	n0			XP_017884471.1				XP_003702863.1	XP_033336225.1	XP_031837296.1	XP_029043319.1	XP_034180645.1
N2.HOG0009263	OG0008430	n0			XP_017881798.1				XP_012136049.1	XP_033341111.1	XP_031845392.1	XP_029048144.1	XP_034186694.1
N2.HOG0009264	OG0008431	n0			XP_017888962.1	XP_015432924.1			XP_003706428.1		XP_031827302.1	XP_029050946.1	XP_034172962.1
N2.HOG0009265	OG0008432	n0			XP_017887582.1	XP_015437084.1			XP_003702568.1		XP_031831755.1	XP_029048420.1	XP_034193421.1
N2.HOG0009266	OG0008433	n0			XP_017880578.1	XP_015429127.1			XP_003699563.1		XP_031843285.1	XP_029055906.1	XP_034196660.1
N2.HOG0009267	OG0008434	n0			XP_026675404.1	XP_015436022.1			XP_012149858.1		XP_031847255.1	XP_029040613.1	XP_034188246.1
N2.HOG0009268	OG0008435	n0			XP_017893134.1	XP_015437909.1			XP_003700328.1		XP_031831765.1	XP_029042311.1	XP_034175193.1
N2.HOG0009269	OG0008436	n0			XP_017890995.1	XP_015438746.1			XP_003706656.1		XP_031840209.1	XP_029048135.1	XP_034195666.1
N2.HOG0009270	OG0008437	n0			XP_017882021.1	XP_015438413.1				XP_033331780.1	XP_031830431.1	XP_029040523.1	XP_034183704.1
N2.HOG0009271	OG0008438	n0			XP_017876757.1	XP_015435004.1			XP_003702230.1		XP_031844944.1	XP_029043572.1	XP_034196457.1
N2.HOG0009272	OG0008439	n0			XP_017884275.1	XP_015439612.1			XP_003700869.1		XP_031834737.1	XP_029031920.1	XP_034196692.1
N2.HOG0009273	OG0008440	n0			XP_017890388.1				XP_012146620.1	XP_033322621.1	XP_031838891.1	XP_029050282.1	XP_034195375.1
N2.HOG0009274	OG0008441	n0			XP_017888013.1	XP_015430081.1			XP_012147913.1	XP_033328562.1	XP_031837550.1	XP_029048476.1	XP_034172461.1
N2.HOG0009275	OG0008442	n0			XP_026668046.1	XP_015431138.1			XP_003705587.1		XP_031840064.1	XP_029051934.1	XP_034183925.1
N2.HOG0009276	OG0008443	n0				XP_015429389.1				XP_033332620.1, XP_033340206.1	XP_031844023.1	XP_029040404.1	XP_034196049.1
N2.HOG0009277	OG0008444	n0			XP_017888977.1	XP_015432813.1			XP_003705042.1		XP_031827297.1	XP_029034101.1	XP_034172471.1
N2.HOG0009278	OG0008445	n0			XP_017892336.1	XP_015431551.1			XP_003706524.1	XP_033326811.1	XP_031850310.1	XP_029038603.1	
N2.HOG0009279	OG0008446	n0			XP_017886157.1	XP_015433626.1			XP_012145943.1	XP_033321789.1	XP_031836877.1	XP_029037103.1	XP_034182229.1
N2.HOG0009280	OG0008447	n0			XP_026668732.1	XP_015430870.1			XP_003705316.1		XP_031836348.1	XP_029052816.1	XP_034184613.1
N2.HOG0009281	OG0008448	n0			XP_017889120.1	XP_015432925.1			XP_003705053.1		XP_031827352.1	XP_029033933.1	XP_034172830.1
N2.HOG0009282	OG0008449	n0			XP_017893666.1	XP_015433854.1			XP_003704553.1	XP_033323869.1	XP_031848237.1		XP_034180112.1
N2.HOG0009283	OG0008450	n0			XP_017889124.1	XP_015432954.1			XP_003705040.1		XP_031827329.1	XP_029054670.1	XP_034172832.1
N2.HOG0009284	OG0008451	n0			XP_017884313.1	XP_015434962.1			XP_003702294.2		XP_031834857.1	XP_029043704.1	XP_034171604.1
N2.HOG0009285	OG0008452	n0			XP_017887537.1	XP_015429950.1			XP_012153138.1	XP_033326832.1		XP_029032378.1	XP_034188877.1
